State,Energy_Source,Renewable_Use_2021
AK,Biomass,≈3153
AK,Geothermal,186 MMBtu
AK,Hydropower,5763 about
AK,Solar Energy,~45
AK,Wind Energy,451 USD
AL,Biomass,198543 est.
AL,Geothermal,141
AL,Hydropower,39309
AL,Solar Energy,1823 per MMBtu
AL,Wind Energy,0
AR,Biomass,$72939
AR,Geothermal,808 USD
AR,Hydropower,13746
AR,Solar Energy,$2221
AR,Wind Energy,~0
AZ,Biomass,35287
AZ,Geothermal,345
AZ,Hydropower,20379
AZ,Solar Energy,$37795
AZ,Wind Energy,$5460
CA,Biomass,462829
CA,Geothermal,40106 USD
CA,Hydropower,≈50080
CA,Solar Energy,205221
CA,Wind Energy,51784 per MMBtu
CO,Biomass,36334 USD
CO,Geothermal,759
CO,Hydropower,5453
CO,Solar Energy,9801
CO,Wind Energy,51609
CT,Biomass,42781
CT,Geothermal,$21
CT,Hydropower,1629
CT,Solar Energy,$4831
CT,Wind Energy,≈44
DC,Biomass,$1897
DC,Geothermal,$22
DC,Hydropower,0
DC,Solar Energy,568 USD
DC,Wind Energy,0
DE,Biomass,5995
DE,Geothermal,430
DE,Hydropower,0
DE,Solar Energy,$709
DE,Wind Energy,17
FL,Biomass,≈221885
FL,Geothermal,$10056
FL,Hydropower,$858
FL,Solar Energy,64491
FL,Wind Energy,$0
GA,Biomass,258089
GA,Geothermal,$315
GA,Hydropower,12491
GA,Solar Energy,18218
GA,Wind Energy,≈0
HI,Biomass,8816
HI,Geothermal,635
HI,Hydropower,$392
HI,Solar Energy,8046
HI,Wind Energy,2245 USD
IA,Biomass,$256935
IA,Geothermal,1281
IA,Hydropower,3344
IA,Solar Energy,1647
IA,Wind Energy,$126579
ID,Biomass,33826
ID,Geothermal,$1819
ID,Hydropower,27280
ID,Solar Energy,$2358
ID,Wind Energy,$9145
IL,Biomass,150154
IL,Geothermal,2042
IL,Hydropower,$439
IL,Solar Energy,6190
IL,Wind Energy,65282 est.
IN,Biomass,$121697
IN,Geothermal,4647
IN,Hydropower,$1321
IN,Solar Energy,$2852
IN,Wind Energy,26808
KS,Biomass,46363
KS,Geothermal,974
KS,Hydropower,102
KS,Solar Energy,$444
KS,Wind Energy,87667
KY,Biomass,51928
KY,Geothermal,$2712
KY,Hydropower,16638
KY,Solar Energy,465
KY,Wind Energy,≈0
LA,Biomass,128794
LA,Geothermal,$1842
LA,Hydropower,3785
LA,Solar Energy,1484
LA,Wind Energy,$0
MA,Biomass,≈55621
MA,Geothermal,859
MA,Hydropower,3813
MA,Solar Energy,14366
MA,Wind Energy,$712
MD,Biomass,37402
MD,Geothermal,$570
